id,title,original_title,original_language,release_date,release_year,decade,overview,popularity,vote_average,vote_count,origin_country_code,origin_country_name,genre_ids,primary_country,matched_conflict,match_score,matched_keywords,match_source,out_of_scope_category,temporal_check
25,Jarhead,Jarhead,en,2005-11-04,2005,2000,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",4.7526,6.7,3157,US,United States,"[18, 10752]",US,Gulf War,1,['gulf war'],overview,,consistent
28,Apocalypse Now,Apocalypse Now,en,1979-05-19,1979,1970,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.2461,8.3,9049,US,United States,"[18, 10752]",US,Vietnam War,1,['vietnam war'],overview,,consistent
67,Paradise Now,Paradise Now,fr,2005-09-07,2005,2000,Two childhood friends are recruited for a suicide bombing in Tel Aviv.,0.725,6.886,284,FR,France,"[80, 53, 18, 10752]",FR,,0,[],,,no_check_needed
182,The Good German,The Good German,en,2006-12-15,2006,2000,An American journalist arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover.,1.6275,5.8,344,US,United States,"[18, 9648, 10749, 53, 10752]",US,,0,[],,,no_check_needed
197,Braveheart,Braveheart,en,1995-05-24,1995,1990,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",10.9436,7.944,11060,US,United States,"[28, 18, 36, 10752]",US,,0,[],,,no_check_needed
205,Hotel Rwanda,Hotel Rwanda,en,2004-12-22,2004,2000,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",3.2605,7.719,3152,US,United States,"[18, 36, 10752]",US,Rwandan Genocide,1,['rwanda'],overview,,consistent
265,Lili Marleen,Lili Marleen,de,1981-01-14,1981,1980,"The story of a German singer named Willie, who while working in Switzerland, falls in love with a Jewish composer named Robert, whose family is helping people to flee from the Nazis. Robert’s family is skeptical of Willie, thinking she could be a Nazi as she becomes famous for singing the song “Lili Marleen”.",0.8057,6.449,88,DE,Germany,"[18, 10752, 10749]",DE,World War II,2,"['nazi', 'nazis']",overview,,consistent
387,Das Boot,Das Boot,de,1981-09-17,1981,1980,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",5.05,8.1,2501,DE,Germany,"[18, 36, 10752]",DE,World War II,1,['second world war'],overview,,consistent
409,The English Patient,The English Patient,en,1996-11-14,1996,1990,"In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.",3.4753,7.147,2381,"GB,US","United Kingdom,United States","[18, 10749, 10752]",GB,World War II,1,['world war ii'],overview,,consistent
423,The Pianist,The Pianist,en,2002-09-17,2002,2000,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",12.1875,8.374,10096,GB,United Kingdom,"[18, 10752]",GB,World War II,2,"['nazi', '1942']",overview,,consistent
424,Schindler's List,Schindler's List,en,1993-12-15,1993,1990,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,26.1437,8.568,17405,US,United States,"[18, 36, 10752]",US,World War II,2,"['world war ii', 'nazis']",overview,,consistent
502,Fail Safe,Fail Safe,en,1964-10-07,1964,1960,Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring.,2.1602,7.819,466,US,United States,"[53, 18, 10752]",US,World War II,1,['atomic bomb'],tmdb_keywords,,consistent
600,Full Metal Jacket,Full Metal Jacket,en,1987-06-26,1987,1980,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,9.1631,8.119,11407,US,United States,"[18, 10752]",US,Vietnam War,1,['vietnam war'],overview,,consistent
613,Downfall,Der Untergang,de,2004-09-16,2004,2000,"In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",6.4558,7.861,4284,DE,Germany,"[18, 36, 10752]",DE,World War II,2,"['hitler', 'third reich']",overview,,consistent
616,The Last Samurai,The Last Samurai,en,2003-12-05,2003,2000,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",8.3662,7.603,7504,US,United States,"[18, 28, 10752]",US,World War II,1,['japanese army'],overview,,consistent
625,The Killing Fields,The Killing Fields,en,1984-11-23,1984,1980,"New York Times reporter Sydney Schanberg is on assignment covering the Cambodian Civil War, with the help of local interpreter Dith Pran and American photojournalist Al Rockoff. When the U.S. Army pulls out amid escalating violence, Schanberg makes exit arrangements for Pran and his family. Pran, however, tells Schanberg he intends to stay in Cambodia to help cover the unfolding story — a decision he may regret as the Khmer Rouge rebels move in.",1.8777,7.459,824,"GB,US","United Kingdom,United States","[18, 36, 10752]",GB,Vietnam War,1,['vietnam'],tmdb_keywords,,consistent
632,Stalag 17,Stalag 17,en,1953-05-29,1953,1950,"After two American prisoners are killed by guards in the act of escaping from a German POW camp in World War II, barracks black marketeer J.J. Sefton is suspected of being an informer.",1.794,7.687,661,US,United States,"[35, 18, 10752]",US,World War II,1,['world war ii'],overview,,consistent
651,M*A*S*H,M*A*S*H,en,1970-02-18,1970,1970,"One of the world's most acclaimed comedies, M*A*S*H focuses on three Korean War Army surgeons brilliantly brought to life by Donald Sutherland, Tom Skerritt and Elliott Gould. Though highly skilled and deeply dedicated, they adopt a hilarious, lunatic lifestyle as an antidote to the tragedies of their Mobile Army Surgical Hospital, and in the process infuriate Army bureaucrats. Robert Duvall, Gary Burghoff and Sally Kellerman co-star as a sanctimonious Major, an other-worldly Corporal, and a self-righteous yet lusty nurse.",3.1312,6.948,1149,US,United States,"[35, 18, 10752]",US,Korean War,1,['korean war'],overview,,consistent
652,Troy,Troy,en,2004-05-13,2004,2000,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.",19.4147,7.169,11000,US,United States,"[10752, 28, 36]",US,,0,[],,,no_check_needed
659,The Tin Drum,Die Blechtrommel,de,1979-05-02,1979,1970,"In 1924, Oskar Matzerath is born in the Free City of Danzig. At age three, he falls down a flight of stairs and stops growing. In 1939, World War II breaks out.",3.3821,6.96,531,"DE,FR","France,Germany","[18, 36, 10752]",DE,World War II,1,['world war ii'],overview,,consistent
676,Pearl Harbor,Pearl Harbor,en,2001-05-21,2001,2000,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",7.0026,6.9,6972,US,United States,"[10752, 10749, 36, 28]",US,World War II,2,"['pearl harbor', '1941']",overview,,consistent
792,Platoon,Platoon,en,1986-12-19,1986,1980,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",7.0219,7.744,5076,US,United States,"[18, 10752, 28]",US,Vietnam War,1,['vietnam war'],tmdb_keywords,,consistent
801,"Good Morning, Vietnam","Good Morning, Vietnam",en,1987-12-23,1987,1980,"A disk jockey goes to Vietnam to work for the Armed Forces Radio Service. While he becomes popular among the troops, his superiors disapprove of his humor.",2.4464,7.302,2993,US,United States,"[35, 18, 10752]",US,Vietnam War,2,"['vietnam war', 'vietnam']",tmdb_keywords,,consistent
826,The Bridge on the River Kwai,The Bridge on the River Kwai,en,1957-10-11,1957,1950,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",3.2099,7.822,2359,GB,United Kingdom,"[18, 36, 10752]",GB,World War II,3,"['world war ii', 'resistance', 'pacific war']",tmdb_keywords,,consistent
853,Enemy at the Gates,Enemy at the Gates,en,2001-02-28,2001,2000,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad in WWII.,6.176,7.418,4013,"GB,US","United Kingdom,United States","[10752, 36]",GB,World War II,2,"['wwii', 'stalingrad']",overview,,consistent
855,Black Hawk Down,Black Hawk Down,en,2001-12-28,2001,2000,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",12.6612,7.393,6332,US,United States,"[28, 10752, 36]",US,,0,[],,,no_check_needed
857,Saving Private Ryan,Saving Private Ryan,en,1998-07-24,1998,1990,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",14.3883,8.223,17150,US,United States,"[10752, 18, 36]",US,World War II,1,['normandy'],overview,,consistent
907,Doctor Zhivago,Doctor Zhivago,en,1965-12-22,1965,1960,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",3.9631,7.55,1262,"GB,US","United Kingdom,United States","[18, 10749, 10752]",GB,,0,[],,World War I,no_check_needed
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,1964-01-29,1964,1960,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop it.",4.2882,8.123,6128,GB,United Kingdom,"[35, 10752]",GB,Cold War,1,['cold war'],tmdb_keywords,,consistent
947,Lawrence of Arabia,Lawrence of Arabia,en,1962-12-11,1962,1960,"During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks.",5.6805,7.998,3403,GB,United Kingdom,"[12, 36, 10752]",GB,,0,[],,World War I,no_check_needed
967,Spartacus,Spartacus,en,1960-10-13,1960,1960,"The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes.",7.521,7.536,2377,US,United States,"[36, 10752, 18, 12]",US,,0,[],,,no_check_needed
975,Paths of Glory,Paths of Glory,en,1957-10-25,1957,1950,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,6.2023,8.254,3263,US,United States,"[10752, 18]",US,,0,[],,World War I,no_check_needed
986,Chimes at Midnight,Campanadas a medianoche,en,1965-12-22,1965,1960,"Henry IV usurps the English throne, sets in motion the factious War of the Roses and now faces a rebellion led by Northumberland scion Hotspur. Henry's heir, Prince Hal, is a ne'er-do-well carouser who drinks and causes mischief with his low-class friends, especially his rotund father figure, John Falstaff. To redeem his title, Hal may have to choose between allegiance to his real father and loyalty to his friend.",1.1076,7.212,243,FR,France,"[35, 18, 36, 10752]",FR,,0,[],,,no_check_needed
1116,The Wind That Shakes the Barley,The Wind That Shakes the Barley,en,2006-06-23,2006,2000,"In 1920s Ireland young doctor Damien O'Donovan prepares to depart for a new job in a London hospital. As he says his goodbyes at a friend's farm, British Black and Tans arrive, and a young man is killed. Damien joins his brother Teddy in the Irish Republican Army, but political events are soon set in motion that tear the brothers apart.",1.6552,7.332,889,GB,United Kingdom,"[18, 10752]",GB,Northern Ireland Troubles,1,['irish republican army'],overview,,consistent
1251,Letters from Iwo Jima,Letters from Iwo Jima,en,2006-12-09,2006,2000,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",3.0876,7.48,2266,US,United States,"[28, 18, 10752]",US,World War II,3,"['world war ii', 'iwo jima', 'imperial japan']",overview,,consistent
1271,300,300,en,2007-03-07,2007,2000,"A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.",10.1281,7.197,14671,US,United States,"[28, 12, 10752]",US,,0,[],,,no_check_needed
1368,First Blood,First Blood,en,1982-10-22,1982,1980,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, he is forced to flee into the mountains and wage an escalating one-man war against his pursuers.",10.5141,7.5,6855,US,United States,"[28, 12, 53, 10752]",US,Vietnam War,3,"['vietnam war', 'vietnam', 'vietnam veteran']",tmdb_keywords,,consistent
1369,Rambo: First Blood Part II,Rambo: First Blood Part II,en,1985-05-21,1985,1980,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,6.544,6.66,4295,US,United States,"[28, 12, 53, 10752]",US,Vietnam War,3,"['vietnam war', 'vietnam', 'vietnam veteran']",tmdb_keywords,,consistent
1370,Rambo III,Rambo III,en,1988-05-24,1988,1980,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",6.8143,6.199,3460,US,United States,"[28, 12, 53, 10752]",US,Soviet-Afghan War,1,['afghanistan'],manual_correction,,consistent
1495,Kingdom of Heaven,Kingdom of Heaven,en,2005-05-03,2005,2000,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",16.3479,7.028,4909,"DE,GB,US","Germany,United Kingdom,United States","[18, 28, 12, 36, 10752]",DE,,0,[],,,no_check_needed
1566,The Bridge,Die Brücke,de,1959-10-21,1959,1950,"A group of German boys are ordered to protect a small bridge in their home village during the waning months of the second world war. Truckloads of defeated, cynical Wehrmacht soldiers flee the approaching American troops, but the boys, full of enthusiasm for the ""blood and honor"" Nazi ideology, stay to defend the useless bridge. The film is based on a West German anti-war novel of the same name, written by Gregor Dorfmeister.",1.5101,7.541,193,DE,Germany,"[18, 36, 10752]",DE,World War II,3,"['second world war', 'nazi', 'wehrmacht']",overview,,consistent
1654,The Dirty Dozen,The Dirty Dozen,en,1967-06-15,1967,1960,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",4.053,7.588,1308,"GB,US","United Kingdom,United States","[28, 12, 10752]",GB,World War II,2,"['world war ii', 'nazi']",overview,,consistent
1716,The Last Metro,Le Dernier Métro,fr,1980-09-17,1980,1980,"In occupied Paris, an actress wed to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs.",1.5686,7.212,522,FR,France,"[18, 10749, 10752]",FR,World War II,1,['nazis'],overview,,consistent
1722,Captain Corelli's Mandolin,Captain Corelli's Mandolin,en,2001-04-18,2001,2000,"When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander.",1.9652,5.959,567,"FR,GB,US","France,United Kingdom,United States","[18, 10749, 10752]",FR,World War II,1,['world war ii'],overview,,consistent
1770,Michael Collins,Michael Collins,en,1996-10-25,1996,1990,"Michael Collins plays a crucial role in the establishment of the Irish Free State in the 1920s, but becomes vilified by those hoping to create a completely independent Irish republic.",1.7864,6.9,514,"GB,US","United Kingdom,United States","[10752, 18, 53, 36]",GB,,0,[],,,no_check_needed
1783,To End All Wars,To End All Wars,en,2001-09-02,2001,2000,"Based on a real-life story, this drama focuses on a small group of Allied soldiers in Burma who are held captive by the Japanese. Capt. Ernest Gordon, Lt. Jim Reardon and Maj. Ian Campbell are among the military officers kept imprisoned and routinely beaten and deprived of food. While Campbell wants to rebel and attempt an escape, Gordon tries to take a more stoic approach, an attitude that proves to be surprisingly resonant.",1.0135,6.434,180,"GB,US","United Kingdom,United States","[18, 10752, 28]",GB,World War II,1,['world war ii'],tmdb_keywords,,consistent
1786,Au Revoir les Enfants,Au revoir les enfants,fr,1987-10-07,1987,1980,"Au revoir les enfants tells a heartbreaking story of friendship and devastating loss concerning two boys living in Nazi-occupied France. At a provincial Catholic boarding school, the precocious youths enjoy true camaraderie—until a secret is revealed. Based on events from writer-director Malle’s own childhood, the film is a subtle, precisely observed tale of courage, cowardice, and tragic awakening.",1.6857,7.524,723,FR,France,"[18, 10752]",FR,World War II,2,"['nazi', 'occupied france']",overview,,consistent
1860,And the Violins Stopped Playing,And the Violins Stopped Playing,en,1988-01-01,1988,1980,This is the true story about a group of Romani's (gypsy) in occupied Poland during World War II as they confront the atrocities and tragedies of a forgotten holocaust.,0.3358,7.5,8,"GB,US","United Kingdom,United States","[10752, 18]",GB,World War II,2,"['world war ii', 'holocaust']",overview,,consistent
1863,Sunflower,I girasoli,it,1970-03-14,1970,1970,"After World War II, a woman refuses to believe her husband, missing on the Russian front, is dead. Flashbacks reveal their brief courtship and marriage. Years later, she travels to Russia with his photo, determined to find him. What will she discover?",1.0336,7.5,177,"FR,RU,US","France,Russia,United States","[18, 10752]",FR,World War II,1,['world war ii'],overview,,consistent
1880,Red Dawn,Red Dawn,en,1984-08-10,1984,1980,"It is the dawn of World War III. In mid-western America, a group of teenagers band together to defend their town—and their country—from invading Soviet forces.",3.5809,6.3,881,US,United States,"[28, 53, 10752, 18]",US,,0,[],,,no_check_needed
1941,Exodus,Exodus,en,1960-12-15,1960,1960,"Ari Ben Canaan, a passionate member of the Jewish paramilitary group Haganah, attempts to transport 600 Jewish refugees on a dangerous voyage from Cyprus to Palestine on a ship named the Exodus. He faces obstruction from British forces, who will not grant the ship passage to its destination.",2.5399,6.678,228,US,United States,"[18, 10752]",US,,0,[],,,no_check_needed
1966,Alexander,Alexander,en,2004-11-21,2004,2000,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",6.062,5.954,3495,US,United States,"[10752, 36, 28, 12, 18, 10749]",US,,0,[],,,no_check_needed
2016,Days of Glory,Indigènes,fr,2006-09-27,2006,2000,"1943. They have never stepped foot on French soil but because France was at war, Said, Abdelkader, Messaoud and Yassir enlist in the French Army, along with 130,000 other “indigenous” soldiers, to liberate the “fatherland” from the Nazi enemy. Heroes that history has forgotten…",2.3841,6.683,399,FR,France,"[18, 36, 10752]",FR,World War II,2,"['nazi', '1943']",overview,,consistent
2024,The Patriot,The Patriot,en,2000-06-28,2000,2000,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",6.5092,7.184,4275,US,United States,"[18, 36, 10752, 28]",US,,0,[],,,no_check_needed
2032,Transit,Перегон,ru,2006-06-04,2006,2000,"A group of American pilots from Alaska ferry Airacobra fighter planes across the ocean on Lend-lease. The orderly course of life is disrupted when it becomes clear that the American pilots are attractive and charming young women. The feelings of the Russian young men collide into barriers of culture and language resulting in a host of awkward, funny, and sometimes tragic situations.It is the story of Russians, Americans, and natives of the Far North. It is the story of man and woman in war. Love and death are squeezed between the hills as human fates are destroyed and born.",0.8446,5.143,14,RU,Russia,"[35, 18, 10752]",RU,World War II,1,['world war ii'],tmdb_keywords,,consistent
2042,Savior,Savior,en,1998-06-01,1998,1990,A hardened mercenary in the Foreign Legion begins to find his own humanity when confronted with atrocities during the fighting in Bosnia.,0.9457,7.2,185,US,United States,"[36, 18, 10752]",US,Bosnian War,1,['bosnia'],overview,,consistent
2131,Hostile Waters,Hostile Waters,en,1997-10-18,1997,1990,"Based on true events, an American submarine collides into a Soviet sub of the coast of America and an ensuing standoff occurs that could lead to total annihilation.",1.2936,6.064,39,"DE,FR,GB,US","France,Germany,United Kingdom,United States","[10770, 18, 53, 10752]",DE,Cold War,1,['soviet union'],tmdb_keywords,,consistent
2143,Carla's Song,Carla's Song,en,1996-10-30,1996,1990,A Glasgow man visits war-torn Nicaragua with a refugee tormented by her memories.,0.6358,6.801,93,GB,United Kingdom,"[10752, 18, 10749]",GB,,0,[],,,no_check_needed
2197,Sounds of Sand,Si le vent soulève les sables,fr,2007-05-02,2007,2000,"On the one hand, there’s the desert eating away at the land. The endless dry season, the lack of water. On the other there’s the threat of war. The village well has run dry. The livestock is dying. Trusting their instinct, most of the villagers leave and head south. Rahne, the only literate one, decides to head east with his three children and Mouna, his wife. A few sheep, some goats, and Chamelle, a dromedary, are their only riches. A tale of exodus, quest, hope and fatality.",0.2543,6.1,13,FR,France,"[18, 10752]",FR,,0,[],,,no_check_needed
2227,Naked Among Wolves,Nackt unter Wölfen,de,1963-04-10,1963,1960,Based on a true story of inmates at KZ Buchenwald that risked their lives to hide a small Jewish boy shortly before the liberation of the camp.,0.4778,6.273,22,DE,Germany,"[18, 10752]",DE,World War II,1,['nazism'],tmdb_keywords,,consistent
2253,Valkyrie,Valkyrie,en,2008-12-25,2008,2000,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",4.7593,6.955,4061,US,United States,"[18, 53, 10752]",US,World War II,3,"['world war ii', 'nazi', 'hitler']",overview,,consistent
2289,Cold Mountain,Cold Mountain,en,2003-12-24,2003,2000,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",3.9833,6.943,1968,"GB,US","United Kingdom,United States","[10752, 36, 12, 10749]",GB,,0,[],,American Civil War,no_check_needed
2306,God Does Not Believe in Us Anymore,Wohin und Zurück - An uns glaubt Gott nicht mehr,de,1982-05-16,1982,1980,"After his father is murdered by the Nazis in 1938, a young Viennese Jew named Ferry Tobler flees to Prague, where he joins forces with another expatriate and a sympathetic Czech relief worker. Together with other Jewish refugees, the three make their way to Paris, and, after spending time in a French prison camp, eventually escape to Marseille, from where they hope to sail to a safe port.",0.1615,7.286,7,DE,Germany,"[18, 10752, 10770]",DE,World War II,1,['nazis'],overview,,consistent
2325,Leningrad,Leningrad,en,2009-01-01,2009,2000,"When in 1941 Nazi Germany invaded the Soviet Union, their troops quickly besieged Leningrad. Foreign journalists are evacuated but one of them, Kate Davies, is presumed dead and misses the plane. Alone in the city she is helped by Nina Tsvetnova a young and idealist police officer and together they will fight for their own survival and the survival of the people in the besieged Leningrad.",0.9703,5.469,97,"GB,US","United Kingdom,United States","[10752, 18]",GB,World War II,3,"['nazi', 'leningrad', '1941']",overview,,consistent
2391,A Captain's Honor,L'Honneur d'un capitaine,fr,1982-12-29,1982,1980,"During a televised debate on the Algerian war in the early 1980s, Professor Paulet denounced the methods of Captain Caron, killed in action in 1957. The widow of the captain, Patricia, decided to file a defamation suit.",0.2275,6.077,12,FR,France,"[18, 36, 10752]",FR,Algerian War,1,['algerian war'],overview,,consistent
2604,Born on the Fourth of July,Born on the Fourth of July,en,1989-12-20,1989,1980,"Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",2.5257,7.005,1875,US,United States,"[18, 10752]",US,Vietnam War,1,['vietnam war'],overview,,consistent
2841,A Very Long Engagement,Un long dimanche de fiançailles,fr,2004-10-27,2004,2000,"Young Frenchwoman Mathilde searches for the truth about her missing fiancé, lost during World War I, and learns many unexpected things along the way. The love of her life is gone. But she refuses to believe he's gone forever — and she needs to know for sure.",1.6775,7.319,1326,FR,France,"[18, 10749, 10752]",FR,,0,[],,World War I,no_check_needed
2894,The Lady and the Duke,L'Anglaise et le Duc,fr,2001-09-07,2001,2000,"Grace Dalrymple Elliot is a British aristocrat trapped in Paris during the French Revolution. Determined to maintain her stiff upper lip and pampered life despite the upheaval, Grace continues her friendship with the Duke of Orléans while risking her life and liberty to protect a fugitive.",0.4281,6.447,38,"DE,FR","France,Germany","[18, 36, 10749, 10752]",DE,,0,[],,,no_check_needed
2911,The Last Drop,The Last Drop,en,2006-04-13,2006,2000,Different factions in WWII-era Holland race to find a stash of Nazi gold.,0.7131,4.223,47,GB,United Kingdom,"[28, 80, 36, 10752]",GB,World War II,2,"['wwii', 'nazi']",overview,,consistent
3010,The Cardinal,The Cardinal,en,1963-12-12,1963,1960,"A young Catholic priest from Boston confronts bigotry, Nazism, and his own personal conflicts as he rises to the office of cardinal.",1.1434,6.563,48,US,United States,"[18, 36, 10752]",US,World War II,1,['world war ii'],tmdb_keywords,,consistent
3012,The Victors,The Victors,en,1963-11-22,1963,1960,"Intercutting dramatic vignettes with newsreel footage, the story follows the characters from an infantry squad as they make their way from Sicily to Germany during the end of World War II.",0.9669,6.389,27,"GB,US","United Kingdom,United States","[18, 10752]",GB,World War II,1,['world war ii'],overview,,consistent
3097,"The Tulse Luper Suitcases, Part 1: The Moab Story","The Tulse Luper Suitcases, Part 1: The Moab Story",en,2003-07-18,2003,2000,"A comic study of 20th-century history, reconstructing the life of writer, creator and professional prisoner Tulse Luper. Born in 1911 Newport and last heard of in 1989, Luper’s life is pieced together from the evidence found in 92 suitcases scattered across the globe. In the first of three parts, we follow Luper through three distinct episodes: as a child during the First World War; as an explorer in Mormon Utah; and as a writer in Belgium during the rise of fascism.",0.6156,5.173,26,GB,United Kingdom,"[10752, 18, 12, 10749]",GB,,0,[],,World War I,no_check_needed
3099,"The Tulse Luper Suitcases, Part 3: From Sark to the Finish","The Tulse Luper Suitcases, Part 3: From Sark to the Finish",en,2005-06-09,2005,2000,"A comic study of 20th-century history, reconstructing the life of writer, creator and professional prisoner Tulse Luper. Born in 1911 Newport and last heard of in 1989, Luper’s life is pieced together from the evidence found in 92 suitcases scattered across the globe. In the final installment, Luper continues his adventures as a professional prisoner during the later years of the Second World War and the Cold War.",0.232,5.031,16,GB,United Kingdom,"[10752, 18, 12, 10749]",GB,World War II,1,['second world war'],overview,,consistent
3175,Barry Lyndon,Barry Lyndon,en,1975-12-18,1975,1970,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",4.5636,8.0,3171,"GB,US","United Kingdom,United States","[18, 10749, 10752, 36]",GB,,0,[],,,no_check_needed
