id,title,original_title,original_language,release_date,release_year,decade,overview,popularity,vote_average,vote_count,origin_country_code,origin_country_name,genre_ids,primary_country,matched_conflict,match_score,matched_keywords,match_source,out_of_scope_category,temporal_check
347382,The One,Единичка,ru,2015-06-11,2015,2010,During WWII a Soviet artillery unit is fighting Nazis while trying to do everything to save lives of a group of deaf children near their position.,0.8304,5.875,24,RU,Russia,"[10752, 18]",RU,World War II,2,"['wwii', 'nazis']",overview,,consistent
347629,Thank You for Your Service,Thank You for Your Service,en,2017-10-26,2017,2010,"A group of U.S. soldiers returning from Iraq struggle to integrate back into family and civilian life, while living with the memory of a war that threatens to destroy them long after they've left the battlefield.",1.5172,6.575,418,US,United States,"[18, 10752]",US,,0,[],,,no_check_needed
348375,Adama: The World of Wind,Adama: Le Monde des Souffles,fr,2015-10-21,2015,2010,"12 year-­old Adama lives in a remote village in West Africa, sheltered by the cliffs. Out beyond lies ""the world of wind,"" the kingdom of wicked spirits hungry for war. When his elder brother Samba suddenly vanishes from the village, Adama decides to set off in search of him, crossing into a Europe in the grip of World War I.",0.4737,6.139,36,FR,France,"[16, 18, 10752]",FR,,0,[],,World War I,no_check_needed
348811,War Pigs,War Pigs,en,2015-08-03,2015,2010,A rag tag unit of misfits known as the War Pigs must go behind enemy lines to exterminate Nazis by any means necessary.,0.9671,4.818,121,US,United States,"[10752, 28]",US,World War II,1,['nazis'],overview,,consistent
351189,The Fear,La Peur,fr,2015-08-12,2015,2010,"Gabriel, a young soldier, is sent to the Western Front in 1914. He experiences the hell of the trenches and the devastating effects that fear has on all the troops. He comes out alive after this horrendous experience, full of rage and fire, and discovers his own humanity.",0.1648,5.3,21,FR,France,"[36, 18, 10752]",FR,,0,[],,World War I,no_check_needed
351192,Come What May,"En mai, fais ce qu'il te plaît",fr,2015-11-04,2015,2010,"In may 1940, the German troops enter France. Frightened by the progress of the enemy, the people of a small village of Pas-de-Calais decide on the recommendations of the prefecture, to give up everything to go on the road, fleeing to the coast.",0.5014,6.3,68,FR,France,"[10752, 18]",FR,World War II,1,['1940'],overview,,consistent
351339,Anthropoid,Anthropoid,en,2016-08-12,2016,2010,"In December 1941, Czech soldiers Jozef Gabčík and Jan Kubiš parachute into their occupied homeland to assassinate Nazi officer Reinhard Heydrich.",2.1258,7.145,1142,"GB,US","United Kingdom,United States","[36, 53, 10752]",GB,World War II,2,"['nazi', '1941']",overview,,consistent
352720,My Good Hans,"Милый Ханс, дорогой Петр",ru,2015-10-07,2015,2010,"It is a story about the Soviet worker Pyotr and the German engineer Hans, who came to the USSR before the war on a business trip. At a Soviet plant the German team works in cooperation with Russian specialists. Once Hans makes a mistake which causes the explosion of the furnace and human losses. Hans finds himself at the mercy of Pyotr, the only witness to his actions near the furnace. Pyotr also depends on Hans, because Pyotr’s very presence near the furnace entails accusation of subversive actions and a death sentence. Mutual suspicion gives way to silent sympathy and later friendship. They even look like each other, both have small children. Pyotr secretly leaves the town with his family but Hans feels loss rather that relief at the disappearance of the embarrassing witness.",0.4381,4.8,12,RU,Russia,"[10749, 18, 10752]",RU,,0,[],,,no_check_needed
353789,Hostages of the SS,Wir Geiseln der SS,de,2015-04-07,2015,2010,"April 1945. In a dramatic operation the SS transports 139 special prisoners, and kin of the prisoners, into the Alps. The plan: to use the prisoners as bargaining chips in possible negotiations with the Allies. During the journey a number of prisoners plan their escape and experience six days between liberty and death, their fates in the hands of ruthless and increasingly nervous criminals. But the hostages band together and turn the tables with a clever ploy: they call in the Wehrmacht to aid them…",0.1308,6.2,9,DE,Germany,"[18, 36, 10752]",DE,World War II,1,['wehrmacht'],overview,,consistent
354287,War Machine,War Machine,en,2017-05-26,2017,2010,A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal.,3.2864,5.612,1228,US,United States,"[35, 18, 10752]",US,War in Afghanistan,1,['afghanistan'],overview,,consistent
354554,Operation X-70,Operation X-70,en,1972-05-04,1972,1970,"A powerful nation has experimented with a new gas, which does not kill or injure the asphyxiated subjects, only puts them in a lethargic and mystical state.  X-70 gas bombs will be dropped by mistake over Nebelux and provoke an unexpected mutation of the population of this friendly little country. (miff.com.au)",0.0533,6.286,7,US,United States,"[10752, 16]",US,,0,[],,,no_check_needed
354660,The Bomb,The Bomb,en,2015-07-29,2015,2010,"Using masterfully restored footage from recently declassified images, The Bomb tells a powerful story of the most destructive invention in human history. From the earliest testing stages to its use as the ultimate chess piece in global politics, the program outlines how America developed the bomb, how it changed the world and how it continues to loom large in our lives. The show also includes interviews with prominent historians and government insiders, along with men and women who helped build the weapon piece by piece.",0.214,6.8,16,US,United States,"[99, 36, 10752]",US,World War II,2,"['world war ii', 'atomic bomb']",tmdb_keywords,,consistent
356888,Fort Algiers,Fort Algiers,en,1953-08-30,1953,1950,"In northwest Africa, a tribal leader tries to stir up a rebellion against the ruling powers.",0.4947,5.955,12,US,United States,"[12, 10752]",US,Algerian War,1,['algeria'],tmdb_keywords,,consistent
357407,Genocidal Organ,虐殺器官,ja,2017-02-03,2017,2010,"The war on terror exploded, literally, the day Sarajevo was destroyed by a homemade nuclear device. The leading democracies transformed into total surveillance states, and the developing world has drowned under a wave of genocides. The mysterious American John Paul seems to be behind the collapse of the world system, and it's up to intelligence agent Clavis Shepherd to track John Paul across the wreckage of civilizations and to find the true heart of darkness—a genocidal organ.",2.3977,6.634,82,JP,Japan,"[53, 878, 16, 28, 10752]",JP,Bosnian War,1,['sarajevo'],overview,,consistent
358269,Hiroshima: The Aftermath,Hiroshima: The Aftermath,en,2015-06-06,2015,2010,Brand new documentary marking the 70th anniversary of the Hiroshima and Nagasaki bombings which ended WWII and began the nuclear age. Features interviews with survivors from both sides.,0.2041,8.0,17,"GB,US","United Kingdom,United States","[99, 36, 10752]",GB,World War II,3,"['wwii', 'hiroshima', 'nagasaki']",overview,,consistent
360012,Afghanistan 1979: The War That Changed the World,Afghanistan 1979 : La guerre qui a changé le monde,fr,2014-11-11,2014,2010,"'Afghanistan 1979: the war that changed the world', is a French documentary about the Sovjet invasion in Afghanistan in 1979. It was one of the most crucial events of the 20th century, and changed the world forever. This documentary gives a good insight in the Afghan-Russian war ; the alliance between the Russian and Afghan communist governments ; Islamic resistance ; the support of America for the resistance and its consequences on the war.",0.1664,7.2,5,FR,France,"[99, 10770, 18, 10752]",FR,War in Afghanistan,1,['afghanistan'],overview,,consistent
360288,Cafard,Cafard,fr,2015-10-22,2015,2010,"August 1914. While Jean Mordant is away winning the title of Wrestling Champion of the World in Buenos Aires, his daughter Mimi is raped by German occupiers in Ostend. Jean swears he will avenge this immoral disgrace. With his coach Victor and young nephew Guido, he enrolls in the prestigious ACM (Armored Car Division). But the heavily-built armored vehicles keep getting stuck in the mud of Flanders. The battalion is hastily transferred to the Eastern front. Jean is devastated by frustration for he has just learned that Mimi is pregnant. But war conditions are ruthless and he and his friends embark on a dramatic journey that ultimately will drag them around the world.",0.3076,6.3,6,FR,France,"[10752, 16, 18]",FR,World War II,1,['eastern front'],overview,,consistent
364359,Le Petit Matin,Le Petit Matin,fr,1971-04-21,1971,1970,"Nina lives with her family in a superb property in the French region of Landes. She loves her cousin Jean who is overprotected by his possessive mother, Eva. There is war and, after the French defeat, Jean wants to reach London.",0.0705,4.9,5,FR,France,"[10749, 18, 10752]",FR,,0,[],,,no_check_needed
364645,Here Is Germany,Here Is Germany,en,1945-12-31,1945,1940,"A ""know-your-enemy"" propaganda film similar to ""Know Your Enemy: Japan"" and ""My Japan"", films about Japan with the same objective. It contains a history of the prelude to WW II, the death camps and other Nazi war crimes, and commentary on the character of the German people.  Directed by Frank Capra, this film is in essentially the same format as his ""Why We Fight"" series. It was intended to be shown to American troops participating in the invasion and occupation of Germany. But by the time it was ready, events had overtaken it -- Germany was already well on its way to falling -- so the film was shelved. Although it is readily available for public-domain viewing on the Internet, it has never been widely distributed or shown.",0.1695,7.0,7,US,United States,"[10752, 99]",US,World War II,1,['nazi'],overview,,consistent
365414,Shock Troops,Un homme de trop,fr,1967-04-05,1967,1960,"A French resistance group free twelve soldiers from a German prison camp, but apparently there's an additional detainee among them suspected of being an enemy spy.",0.5379,6.656,45,FR,France,"[10752, 18, 53]",FR,World War II,1,['french resistance'],overview,,consistent
365544,The Fortress: By Shield and Sword,Крепость: щитом и мечом,ru,2015-10-29,2015,2010,"In the war-torn countryside, an orphan and his young friend use all their skills to defend their home and people from opposing forces.",0.6914,7.1,16,RU,Russia,"[10752, 16, 12]",RU,,0,[],,,no_check_needed
366736,Friend,Shok,sq,2015-04-10,2015,2010,The friendship of two boys is tested to its limits as they battle for survival during the Kosovo war.,0.4077,7.3,31,GB,United Kingdom,"[18, 36, 10752]",GB,Kosovo War,1,['kosovo war'],overview,,consistent
367960,The Spymasters: CIA in the Crosshairs,The Spymasters: CIA in the Crosshairs,en,2015-11-28,2015,2010,"Documentary revealing the inner workings of the world's most powerful intelligence organization, with unprecedented access to America's spy network, all 12 living CIA directors and top agency operatives, who talk candidly about torture, secret prisons, drone warfare, alleged assassinations and the constant threat of attack, which begs the question: how far should America go to keep us safe?",0.194,6.625,8,US,United States,"[10752, 18, 99, 36]",US,,0,[],,,no_check_needed
368474,Uncanny Valley,Uncanny Valley,fr,2015-06-15,2015,2010,"Inside a museum, nowadays. A diorama represents two young soldiers in the trenches. All of a sudden, we are thrown into the diorama: the immobile soldiers come to life, there is terror on their faces – the camera dances around them – explosions, chaos, fog: everything flies about in the air. With every gunshot, they shudder and curl up",0.0742,8.1,7,FR,France,"[16, 10752]",FR,,0,[],,,no_check_needed
369060,A Christmas Truce,A Christmas Truce,en,2015-12-10,2015,2010,"During a shaky 24-hour holiday truce amid the Battle of the Bulge, American Captain John Myers and a Belgian farm girl, Alina, fall in love. Forced to separate when fighting resumes, the couple vows to reunite, under a bell tower, the first Christmas Eve after the war ends, if each is alive and eager.",0.323,6.4,26,US,United States,"[10770, 10752, 18, 10749]",US,World War II,1,['world war ii'],tmdb_keywords,,consistent
369885,Allied,Allied,en,2016-11-23,2016,2010,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",4.4401,6.805,4788,US,United States,"[28, 18, 10752, 10749, 53]",US,World War II,2,"['french resistance', '1942']",overview,,consistent
